Tank,Population,Temperature,Selection,Generation ,Week,Age,Weight
5,LTC3,L,C,5,2,62,0.273
5,LTC3,L,C,5,2,62,0.105
6,HTC6,H,C,5,2,62,0.193
6,HTC6,H,C,5,2,62,0.276
6,HTC6,H,C,5,2,62,0.25
6,HTC6,H,C,5,2,62,0.287
6,HTC6,H,C,5,2,62,0.4
6,HTC6,H,C,5,2,62,0.238
6,HTC6,H,C,5,2,62,0.288
6,HTC6,H,C,5,2,62,0.191
6,HTC6,H,C,5,2,62,0.284
6,HTC6,H,C,5,2,62,0.15
6,HTC6,H,C,5,2,62,0.183
6,HTC6,H,C,5,2,62,0.283
6,HTC6,H,C,5,2,62,0.392
6,HTC6,H,C,5,2,62,0.408
6,HTC6,H,C,5,2,62,0.218
6,HTC6,H,C,5,2,62,0.345
6,HTC6,H,C,5,2,62,0.174
6,HTC6,H,C,5,2,62,0.241
6,HTC6,H,C,5,2,62,0.274
6,HTC6,H,C,5,2,62,0.331
1,HTC4,H,C,5,3,69,0.289
1,HTC4,H,C,5,3,69,0.41
1,HTC4,H,C,5,3,69,0.303
1,HTC4,H,C,5,3,69,0.673
1,HTC4,H,C,5,3,69,0.577
1,HTC4,H,C,5,3,69,0.754
1,HTC4,H,C,5,3,69,0.527
1,HTC4,H,C,5,3,69,0.303
1,HTC4,H,C,5,3,69,0.317
1,HTC4,H,C,5,3,69,0.634
1,HTC4,H,C,5,3,69,0.286
1,HTC4,H,C,5,3,69,0.454
1,HTC4,H,C,5,3,69,0.154
1,HTC4,H,C,5,3,69,0.48
1,HTC4,H,C,5,3,69,0.194
1,HTC4,H,C,5,3,69,0.273
1,HTC4,H,C,5,3,69,0.402
1,HTC4,H,C,5,3,69,0.68
1,HTC4,H,C,5,3,69,0.376
1,HTC4,H,C,5,3,69,0.315
2,LTC1,L,C,5,3,69,0.283
2,LTC1,L,C,5,3,69,0.203
2,LTC1,L,C,5,3,69,0.45
2,LTC1,L,C,5,3,69,0.393
2,LTC1,L,C,5,3,69,0.325
2,LTC1,L,C,5,3,69,0.316
2,LTC1,L,C,5,3,69,0.161
2,LTC1,L,C,5,3,69,0.341
2,LTC1,L,C,5,3,69,0.359
2,LTC1,L,C,5,3,69,0.571
2,LTC1,L,C,5,3,69,0.273
2,LTC1,L,C,5,3,69,0.245
2,LTC1,L,C,5,3,69,0.239
2,LTC1,L,C,5,3,69,0.557
2,LTC1,L,C,5,3,69,0.37
2,LTC1,L,C,5,3,69,0.475
2,LTC1,L,C,5,3,69,0.143
2,LTC1,L,C,5,3,69,0.4
2,LTC1,L,C,5,3,69,0.14
2,LTC1,L,C,5,3,69,0.295
3,HTC5,H,C,5,3,69,0.542
3,HTC5,H,C,5,3,69,0.339
3,HTC5,H,C,5,3,69,0.384
3,HTC5,H,C,5,3,69,0.491
3,HTC5,H,C,5,3,69,0.577
3,HTC5,H,C,5,3,69,0.385
3,HTC5,H,C,5,3,69,0.346
3,HTC5,H,C,5,3,69,0.494
3,HTC5,H,C,5,3,69,0.815
3,HTC5,H,C,5,3,69,0.531
3,HTC5,H,C,5,3,69,0.316
3,HTC5,H,C,5,3,69,0.519
3,HTC5,H,C,5,3,69,0.383
3,HTC5,H,C,5,3,69,0.498
